"name","address","latitude","longitude","b_type"
"LINCOLN WAY SHELL","601 Lincoln Way, San Francisco, CA 94122",37.7660217285156,-122.464584350586,"gas_station"
"LOMBARD SHELL","1800 Lombard St, San Francisco, CA 94123",37.8004574775696,-122.431281208992,"gas_station"
"LOMBARD TIRE & BRAKE","2342 Lombard St, San Francisco, CA 94123",37.7993269264698,-122.440076172352,"gas_station"
"LOMBARD VALERO","2601 Lombard St, San Francisco, CA 94123",37.7987899780273,-122.444534301758,"gas_station"
"MARGARETTI & COMPANY","210 Post St, San Francisco, CA 94108",37.7886638045311,-122.405532673001,"gas_station"
"MISSION 76","3400 Mission St, San Francisco, CA 94110",37.7419586181641,-122.422248840332,"gas_station"
"MISSION CHEVRON SERVICE","3400 Mission St, San Francisco, CA 94110",37.7419586181641,-122.422248840332,"gas_station"
"MISSION MARTCO","5098 Mission St, San Francisco, CA 94112",37.7168083190918,-122.440719604492,"gas_station"
"MISSION SHELL","3550 Mission St, San Francisco, CA 94110",37.7400360107422,-122.423469543457,"gas_station"
"MOSCONE CENTER AUTO CARE SHELL","300 5th St, San Francisco, CA 94107",37.780101776123,-122.403190612793,"gas_station"
"NERO ALVIN ARCO STATION","2495 Jennings St, San Francisco, CA 94124",37.7248840332031,-122.390609741211,"gas_station"
"NHU CHEVRON SERVICE","590 10th St, San Francisco, CA 94103",37.7695198059082,-122.408760070801,"gas_station"
"PACIFIC ENTERPRISES","999 Ocean Ave, San Francisco, CA 94112",37.7231941223145,-122.452812194824,"gas_station"
"PACIFIC HEIGHTS CHEVRON","2500 California St, San Francisco, CA 94115",37.7886810302734,-122.43571472168,"gas_station"
"PARK PRESIDIO 76","4850 Geary Blvd, San Francisco, CA 94118",37.7807700634003,-122.471252828836,"gas_station"
"PARKSIDE SHELL","2399 19th Ave, San Francisco, CA 94116",37.743166834116,-122.475669756532,"gas_station"
"PERFORMANCE SERVICE STATION","388 Potrero Ave, San Francisco, CA 94103",37.7647933959961,-122.40746307373,"gas_station"
"PETE'S UNOCAL 76 SERVICE","3701 Noriega St, San Francisco, CA 94122",37.7530288696289,-122.503578186035,"gas_station"
"POTRERO SHELL","2890 3rd St, San Francisco, CA 94107",37.7531356811523,-122.387908935547,"gas_station"
"PRECISE CHEVRON","1890 19th Ave, San Francisco, CA 94122",37.752613067627,-122.47632598877,"gas_station"
"PRESIDIO 76","4850 Geary Blvd, San Francisco, CA 94118",37.7807700634003,-122.471252828836,"gas_station"
"PYRAMID UNION 76 SERVICE STA","1600 Mission St, San Francisco, CA 94103",37.7722358703613,-122.419036865234,"gas_station"
"QUALITY GAS FR YR CASH ARCO AM","5898 Mission St, San Francisco, CA 94112",37.7088526636362,-122.452599406242,"gas_station"
"RAMSES RC GAS","376 Castro St, San Francisco, CA 94114",37.7629470825195,-122.435203552246,"gas_station"
"RANK QUICKSERVE INC","4199 Mission St, San Francisco, CA 94112",37.7303161621094,-122.429710388184,"gas_station"
"RICHMOND'S SUPER SHELL","4501 Geary Blvd, San Francisco, CA 94118",37.7808074951172,-122.467742919922,"gas_station"
"SAM TRUONG'S 76","1855 Taraval St, San Francisco, CA 94116",37.742603302002,-122.486068725586,"gas_station"
"SAN BRUNO AT SILVER SUPERSHELL","2380 San Bruno Ave, San Francisco, CA 94134",37.7326354980469,-122.405723571777,"gas_station"
"SAN BRUNO AV CHEVRON","2400 San Bruno Ave, San Francisco, CA 94134",37.7323199808598,-122.405566200614,"gas_station"
"SF STAR STATION","2831 Cesar Chavez St, San Francisco, CA 94110",37.7488262951374,-122.406594157219,"gas_station"
"SF THIRD SHELL","551 3rd St, San Francisco, CA 94107",37.7806138247252,-122.394956722856,"gas_station"
"SHUM UNION 76 SERVICE","3601 Lawton St, San Francisco, CA 94122",37.7568702697754,-122.501670837402,"gas_station"
"SIERRA PACIFIC RESOURCES INC","2022 Taraval St, San Francisco, CA 94116",37.7425143867731,-122.487815469503,"gas_station"
"SILVER OIL SERVICE INC","2190 Carroll Ave, San Francisco, CA 94124",37.7304000854492,-122.402961730957,"gas_station"
"SUNSET 76","1700 Noriega St, San Francisco, CA 94122",37.7539978027344,-122.482154846191,"gas_station"
"TURK STREET SHELL","800 Turk St, San Francisco, CA 94102",37.7816848754883,-122.422645568848,"gas_station"
"VALENCIA 76 GAS","1298 Valencia St, San Francisco, CA 94110",37.7522467821836,-122.420663684607,"gas_station"
"WEST PORTAL SERVICE INC","800 Ulloa St, San Francisco, CA 94127",37.740650177002,-122.465194702148,"gas_station"
"WILLS SUPER SHELL","4298 Mission St, San Francisco, CA 94112",37.7288856506348,-122.431144714355,"gas_station"
"WUS CLAYTON SHELL","1200 Clayton St, San Francisco, CA 94114",37.7614517211914,-122.446571350098,"gas_station"
"WUS THIRD ST SHELL","551 3rd St, San Francisco, CA 94107",37.7806138247252,-122.394956722856,"gas_station"
"XTRA OIL COMPANY","3750 3rd St, San Francisco, CA 94124",37.7430381774902,-122.387916564941,"gas_station"
